Payroll_ID,Employee_ID,Basic_Salary,Bonuses,Deductions,Net_Salary,Payment_Date
PAY60136,EMP7439,98164.71,6123.03,1863.82,45980.16,2023-10-16
PAY64583,EMP3847,52268.42,1534.02,4752.29,90593.31,2023-07-13
PAY18295,EMP3147,70978.68,8371.88,4340.24,123787.0,2024-03-04
PAY75530,EMP7950,80792.89,8230.11,4709.33,90938.93,2024-09-20
PAY78873,EMP9403,40183.09,3334.38,948.57,60819.33,2024-08-01
PAY9418,EMP4582,54119.61,8190.02,555.73,62508.85,2024-02-16
PAY22207,EMP8749,67434.97,2413.75,2701.26,136950.77,2023-05-02
PAY23349,EMP7913,96381.05,7741.3,2673.0,62973.79,2023-11-19
PAY68479,EMP8806,34184.47,1688.42,1516.71,95132.31,2024-02-03
PAY39923,EMP5955,79693.74,7356.11,600.21,76515.95,2023-07-16
PAY54209,EMP2180,108149.29,5532.21,2890.77,56281.81,2024-07-20
PAY58594,EMP9493,93388.47,7993.76,989.51,118997.48,2025-10-08
PAY59360,EMP4417,37469.92,3309.72,1290.56,65498.99,2024-07-31
PAY74829,EMP8979,43843.59,2563.75,2262.24,51962.09,2023-10-14
PAY32825,EMP8351,88369.87,9787.8,2416.64,84246.39,2023-11-16
PAY31095,EMP9824,80837.4,9578.35,1987.73,33382.26,2024-07-31
PAY81465,EMP5621,69965.66,6457.32,2851.74,69586.5,2023-06-06
PAY76042,EMP1149,100179.65,3051.79,2961.69,108168.53,2023-01-23
PAY14921,EMP4124,109608.92,4411.61,3730.51,41642.75,2025-06-14
PAY14894,EMP3209,82802.73,2364.34,3667.92,109748.57,2024-05-07
PAY80131,EMP7812,63665.71,8511.16,4322.1,108521.87,2024-11-09
PAY97101,EMP9065,114068.25,3485.55,693.38,78920.35,2023-10-23
PAY71471,EMP1631,141463.37,7460.54,1163.13,131799.07,2023-07-10
PAY89304,EMP8669,72381.62,6760.13,4830.24,114732.42,2024-09-03
PAY90071,EMP1310,139215.44,3123.99,1845.59,125534.64,2023-04-02
PAY38436,EMP6955,35992.17,9556.79,2054.1,30656.64,2023-06-22
PAY19917,EMP5471,138552.26,8714.81,1767.21,126825.69,2023-04-25
PAY61562,EMP9989,135870.18,9028.34,1579.79,79798.73,2023-04-09
PAY89377,EMP8680,108550.57,9670.31,1783.59,67429.5,2023-04-29
PAY28326,EMP3085,47445.78,5561.3,4336.98,119337.07,2023-12-19
PAY18742,EMP4195,111041.99,7472.2,1392.24,104080.3,2025-09-21
PAY44266,EMP3107,88826.48,2740.61,2120.2,31975.72,2023-10-24
PAY33170,EMP5313,133499.02,6824.33,840.8,134892.71,2023-05-15
PAY16590,EMP8324,108693.87,7970.99,2213.69,49618.01,2023-04-13
PAY42768,EMP3583,130813.97,5978.91,1250.66,39347.25,2025-07-18
PAY56194,EMP9802,101466.87,8174.28,3100.27,127167.57,2024-11-14
PAY33069,EMP5348,123828.72,2495.52,607.39,139256.96,2024-01-25
PAY48387,EMP7254,145032.8,2691.28,1612.21,113714.63,2024-07-13
PAY95140,EMP9140,112363.66,8000.02,3045.91,111542.19,2023-04-07
PAY49093,EMP7789,149767.36,3409.16,2663.93,120423.32,2024-02-25
PAY26329,EMP6464,38391.11,5189.44,1938.22,106346.19,2023-03-22
PAY14982,EMP3905,98602.85,8504.08,2815.06,131455.25,2023-10-06
PAY3670,EMP2072,109532.27,9924.73,2614.81,36833.79,2023-07-12
PAY78374,EMP5391,75253.61,4631.01,682.7,37225.35,2024-05-17
PAY74332,EMP5755,105044.61,2056.19,3514.79,37206.15,2025-05-31
PAY24058,EMP8138,104680.67,6566.03,4825.22,75901.48,2023-10-25
PAY53041,EMP4204,129511.59,6432.97,1306.93,56287.55,2025-03-17
PAY14199,EMP8762,124714.53,8248.98,3212.22,106111.78,2023-01-18
PAY25559,EMP3248,133671.08,3919.92,4695.71,97017.18,2025-04-02
PAY40719,EMP6661,75024.67,2598.14,541.05,65047.13,2025-08-03
PAY58821,EMP2607,148582.96,4983.05,4308.69,123686.84,2025-03-21
PAY19524,EMP6334,90893.87,7760.58,4883.41,92812.59,2024-02-20
PAY53418,EMP6624,71581.08,9557.85,778.64,49241.66,2024-12-30
PAY19679,EMP2590,130881.0,6203.28,3928.77,38051.0,2025-11-13
PAY71019,EMP3727,55099.03,3362.7,3825.67,39529.93,2023-07-24
PAY96560,EMP4593,41520.65,2908.23,3076.23,26788.23,2023-10-21
PAY4009,EMP3676,107436.96,6270.96,899.98,30952.78,2023-04-29
PAY61820,EMP3827,44160.84,9341.78,1419.82,119588.78,2023-04-16
PAY49218,EMP9052,44660.62,8591.0,1493.99,40908.72,2024-01-04
PAY44669,EMP3470,113717.24,5611.38,613.9,80779.83,2023-08-01
PAY60685,EMP1904,37690.83,9544.09,707.01,83745.71,2025-01-23
PAY14821,EMP6847,126367.97,7066.5,4505.95,83438.7,2024-07-10
PAY39587,EMP2289,118266.82,2743.45,1522.5,132935.87,2025-12-26
PAY16957,EMP6410,142393.23,9470.56,1906.82,59005.31,2023-12-01
PAY78299,EMP1804,83711.77,4203.89,4686.66,103835.1,2024-11-20
PAY94220,EMP3175,58929.44,5155.5,4631.88,126425.97,2023-06-25
PAY38281,EMP5553,90658.48,8140.73,1529.69,126439.06,2024-11-25
PAY12768,EMP1886,105837.94,7833.94,559.78,40376.18,2024-05-14
PAY17679,EMP9215,138725.54,5926.64,4071.68,94958.54,2024-05-23
PAY57851,EMP7948,145559.61,8019.81,3336.33,130420.46,2025-08-22
PAY93057,EMP3228,35998.44,5817.94,4006.45,62811.92,2023-03-24
PAY54295,EMP8240,66998.81,7226.86,3343.0,105786.42,2023-05-14
PAY53073,EMP6628,72432.64,3552.46,1905.39,67672.4,2024-04-28
PAY93522,EMP7707,56844.91,2050.11,4404.49,135954.6,2023-09-02
PAY21500,EMP2250,147823.26,2523.4,1472.75,88810.93,2023-05-27
PAY2982,EMP3800,85589.21,6927.68,4780.74,73154.86,2025-05-13
PAY41227,EMP3308,87325.27,1900.25,1113.59,38158.33,2024-01-17
PAY35340,EMP8833,70640.34,1425.98,1597.28,115954.27,2023-09-12
PAY57137,EMP7307,36839.03,8138.19,4553.89,128345.99,2025-08-17
PAY62364,EMP7714,97731.56,8294.27,1478.9,28996.1,2024-09-28
PAY71505,EMP4545,118154.46,5105.05,2083.6,81088.09,2024-02-10
PAY29391,EMP1062,94040.09,2974.29,4303.17,111638.38,2024-10-01
PAY10847,EMP4816,145531.92,7955.91,3236.68,106596.85,2024-10-17
PAY27321,EMP8384,123893.92,4303.54,2270.26,92928.55,2024-04-16
PAY82102,EMP1725,140545.91,9710.15,3318.1,31359.19,2023-02-01
PAY19343,EMP6731,119384.2,3044.37,1670.3,84602.1,2024-09-28
PAY43840,EMP2356,54691.7,5213.07,4226.58,43756.2,2025-02-12
PAY6508,EMP7731,95915.5,6532.26,3681.58,106356.97,2024-06-22
PAY7890,EMP9569,43577.18,8294.93,911.14,111394.18,2025-01-24
PAY81242,EMP7278,97080.38,8707.74,3283.91,62545.4,2025-05-08
PAY69066,EMP5683,72677.09,4171.95,1807.42,137024.35,2024-09-15
PAY56735,EMP7826,50928.75,2603.07,1997.36,65205.03,2025-11-05
PAY92761,EMP5335,114018.53,1327.89,739.23,115616.22,2025-12-04
PAY13066,EMP1395,53422.95,1758.28,902.56,88055.92,2025-02-18
PAY36600,EMP9041,105406.96,2943.74,3553.03,102048.07,2025-11-10
PAY18092,EMP4739,112359.12,4955.18,2750.15,100416.37,2024-10-08
PAY54018,EMP5245,126904.02,6681.92,1863.94,32354.01,2025-07-03
PAY51559,EMP2521,81338.58,1610.78,2204.6,93971.71,2023-12-01
PAY43393,EMP8282,44238.53,8096.83,2178.05,54527.03,2024-06-30
PAY56917,EMP2482,115953.85,1786.35,1984.28,27040.12,2024-11-27
PAY21793,EMP8246,44805.15,5094.87,1317.33,129365.76,2023-04-03
PAY26278,EMP6310,111881.2,6721.98,3968.36,31816.18,2023-05-22
PAY62095,EMP7412,90212.81,3826.92,1893.95,47378.56,2024-03-19
PAY96649,EMP3382,34663.65,5666.52,4451.49,124989.67,2024-04-15
PAY48214,EMP5165,70505.24,5408.52,1102.29,137928.33,2025-01-05
PAY38654,EMP4013,67943.89,5487.56,2371.49,88236.98,2023-08-03
PAY39729,EMP2588,103441.65,5480.22,3019.21,36782.02,2025-04-17
PAY18827,EMP3461,90894.52,4853.26,1981.49,94194.61,2024-10-02
PAY1459,EMP6199,52506.04,4031.25,1677.72,99469.52,2023-01-15
PAY18384,EMP2653,102027.23,9848.99,1700.76,131587.46,2024-05-14
PAY22105,EMP7970,127833.21,2218.37,4231.05,86808.89,2023-07-25
PAY90489,EMP4834,103334.5,4767.17,4088.87,87772.48,2024-09-23
PAY99722,EMP1444,107597.05,1260.06,674.41,91695.77,2024-01-18
PAY96753,EMP3607,127136.44,1063.22,3202.98,124383.52,2025-06-27
PAY31441,EMP7884,113781.52,5500.22,4326.74,110800.66,2023-01-20
PAY81016,EMP6044,104513.31,2371.91,1328.82,95069.42,2025-11-03
PAY55533,EMP6208,63356.86,5499.15,2355.08,54242.58,2023-01-05
PAY14316,EMP3505,30070.75,9499.36,4980.34,117651.1,2023-12-04
PAY7753,EMP5723,79799.66,3753.96,4801.75,127054.73,2023-07-23
PAY77228,EMP6319,50134.8,7308.26,3771.77,41659.46,2024-05-14
PAY55858,EMP6901,94167.84,9186.4,3215.92,29132.02,2025-09-06
PAY31716,EMP2758,74168.04,8836.8,978.91,82527.4,2025-09-25
PAY81731,EMP6146,142098.06,1374.94,831.52,133142.73,2024-10-15
PAY88306,EMP4094,91629.54,6641.79,4953.63,84520.86,2024-02-01
PAY96893,EMP5559,74403.52,5342.78,983.38,122731.27,2025-09-25
PAY56310,EMP9274,115143.56,8327.55,4521.46,109392.08,2025-06-15
PAY15653,EMP7618,56998.75,4304.41,3400.93,59561.16,2025-01-28
PAY88641,EMP6774,81270.52,9444.93,3750.81,40324.21,2023-04-18
PAY46922,EMP3382,52391.79,4369.64,2259.89,26484.83,2025-05-26
PAY62282,EMP7750,129112.03,4283.96,2039.98,119035.48,2023-11-24
PAY10565,EMP3767,74649.73,3606.22,4886.87,49408.71,2023-01-03
PAY44889,EMP9862,91339.03,8974.96,554.78,129139.52,2023-07-07
PAY61804,EMP8020,120423.29,1495.47,1957.57,27822.85,2025-08-20
PAY55689,EMP4197,97105.94,8448.99,2280.59,75942.78,2025-03-09
PAY28974,EMP2279,62239.25,8927.93,2569.91,85337.47,2023-07-19
PAY71863,EMP6207,38643.16,5433.09,675.18,46595.12,2024-06-03
PAY96834,EMP8129,87657.68,1454.7,2064.98,35146.97,2024-03-19
PAY6639,EMP7808,83018.73,7020.43,4225.8,54784.77,2025-09-03
PAY27863,EMP6248,141238.21,1479.72,3551.81,78812.99,2025-05-13
PAY63585,EMP7835,109148.32,5389.01,1414.07,118582.86,2023-04-08
PAY60288,EMP5115,119080.1,4017.99,2039.94,42611.3,2025-03-04
PAY94799,EMP9392,82756.2,3204.49,1056.58,56039.73,2024-06-26
PAY64372,EMP6532,42032.04,1429.19,1517.76,130255.53,2024-06-19
PAY47165,EMP5342,131821.35,2065.18,4454.23,130916.96,2023-12-17
PAY87658,EMP1347,106754.84,3740.4,4383.42,67463.92,2024-04-25
PAY61502,EMP9367,83472.6,2769.05,4730.75,62226.86,2025-12-19
PAY62050,EMP3635,99042.89,1998.49,4860.26,43504.25,2024-11-15
PAY15735,EMP9393,94966.9,2131.64,4993.48,97150.35,2025-03-08
PAY91772,EMP8439,118885.75,8554.44,4753.73,132560.4,2023-01-01
PAY6592,EMP3948,107169.32,6408.09,540.15,66840.5,2025-10-19
PAY73480,EMP1819,71011.07,6872.31,1316.43,104365.64,2024-07-06
PAY65040,EMP8689,104811.71,3955.22,1876.71,47668.25,2023-01-02
PAY95454,EMP5350,61305.53,9494.99,1526.64,99462.97,2024-03-22
PAY4514,EMP3720,93740.46,4644.99,4014.44,36520.04,2023-01-20
PAY15189,EMP8451,55647.7,2394.9,3623.72,75472.05,2025-11-25
PAY88983,EMP7309,140148.26,5317.24,4012.38,134144.73,2025-02-16
PAY89870,EMP3908,132106.63,4672.6,4401.74,119296.83,2025-12-08
PAY72935,EMP6433,60162.46,7004.32,4478.96,34002.2,2025-11-26
PAY21355,EMP7400,148591.72,5347.1,4663.77,101923.63,2025-11-03
PAY47686,EMP7119,69840.46,6525.89,1874.16,36719.72,2025-04-10
PAY26296,EMP5183,108338.53,4704.04,2734.48,67566.71,2025-12-25
PAY55417,EMP8379,84281.02,1815.48,4005.29,60641.49,2024-08-18
PAY62816,EMP9905,76622.79,7168.49,1602.76,42731.4,2023-10-07
PAY81565,EMP4516,76177.4,9545.54,893.67,50793.26,2023-08-04
PAY99930,EMP6558,130587.26,9495.6,4891.3,103902.48,2023-07-13
PAY95947,EMP9545,38382.49,4005.01,2125.23,49644.06,2024-10-16
PAY61155,EMP3055,146451.54,9481.94,4265.91,104499.24,2023-09-19
PAY2027,EMP3688,73949.93,5352.08,1032.1,52126.48,2023-09-01
PAY64748,EMP2280,69665.78,7789.23,3825.39,126056.06,2023-05-15
PAY65088,EMP3705,104018.5,2796.6,4288.97,115635.35,2024-12-23
PAY32014,EMP2889,128813.57,9380.49,3266.29,107544.02,2025-06-20
PAY17163,EMP9989,77000.67,7941.64,4974.09,88114.77,2025-12-05
PAY8825,EMP9540,56854.51,9928.8,2256.77,32905.86,2025-01-07
PAY77116,EMP1556,73008.65,6094.83,992.91,88512.61,2023-08-11
PAY71596,EMP7366,61898.5,1407.74,2910.12,69174.48,2024-01-08
PAY37430,EMP8342,121951.78,6208.42,4112.24,136794.86,2024-07-18
PAY84547,EMP4302,66688.34,8830.52,4359.46,66773.52,2024-09-10
PAY48977,EMP4289,144708.16,6057.39,3501.96,86860.96,2025-06-03
PAY64514,EMP3069,127649.01,5768.81,3352.33,28880.48,2023-07-15
PAY68292,EMP7386,101983.31,9357.84,3843.57,44332.37,2025-11-21
PAY84260,EMP2427,31270.33,5046.54,3475.35,45067.0,2023-01-05
PAY3443,EMP5242,125723.37,5481.11,2447.45,57082.02,2025-05-24
PAY22323,EMP9551,95491.98,6524.1,1810.62,87262.4,2025-05-11
PAY29179,EMP8713,64803.76,4547.85,3718.87,73422.15,2023-08-31
PAY95592,EMP4220,83785.21,2226.7,2985.39,72826.01,2025-03-31
PAY6660,EMP6139,78081.48,3844.57,2973.89,115135.91,2024-05-26
PAY61717,EMP9647,130465.25,7122.06,3509.81,104251.79,2024-01-02
PAY42769,EMP3262,77127.83,5000.33,4575.27,74189.09,2023-12-07
PAY98397,EMP3119,127706.82,3748.59,3923.44,76883.5,2024-08-13
PAY43235,EMP3451,96289.11,9907.31,1765.98,28958.07,2024-07-26
PAY4710,EMP7600,124034.09,2618.46,893.83,106563.99,2025-09-13
PAY18499,EMP8817,84047.93,3641.68,4578.18,84521.87,2023-12-12
PAY2193,EMP3090,59186.54,8514.69,3746.56,106853.84,2023-05-03
PAY95322,EMP7618,103927.09,5615.94,2182.9,93782.54,2025-12-08
PAY86105,EMP2989,66675.34,1162.89,3579.28,77174.77,2023-01-28
PAY54122,EMP8398,108872.09,1535.88,3565.11,95278.35,2023-10-06
PAY15561,EMP5194,116507.32,8289.15,2502.2,102558.13,2025-01-07
PAY17560,EMP6081,32186.97,7167.07,2726.56,119473.67,2025-12-04
PAY56265,EMP7913,32681.2,1651.93,4847.88,107588.93,2023-11-03
PAY16392,EMP3651,62383.87,3605.6,2559.27,29136.53,2023-03-13
PAY69187,EMP8790,90562.12,7033.63,2121.79,58912.2,2023-07-27
PAY65686,EMP2251,105168.45,4632.52,3649.41,122729.16,2024-06-08
PAY43360,EMP6081,82960.29,6575.27,774.0,138038.86,2025-06-24
PAY34990,EMP6538,64141.87,8824.81,2783.22,115407.15,2024-03-29
PAY37051,EMP3689,78021.64,3687.34,3834.73,61928.96,2023-01-12
PAY20578,EMP8033,128661.82,6245.87,1369.15,64537.53,2025-11-05
PAY57087,EMP3911,139042.38,8135.6,4202.52,118840.77,2025-04-12
PAY81236,EMP7890,119353.06,6295.22,932.94,101064.51,2023-04-19
PAY22485,EMP5414,128017.63,9783.95,1834.32,139342.89,2025-08-19
PAY74487,EMP9728,132798.49,8904.76,943.19,85185.21,2025-09-08
PAY75856,EMP6637,74686.24,4841.11,4011.01,98964.9,2024-10-22
PAY32600,EMP3863,96667.54,7304.42,4247.36,116996.49,2023-08-28
PAY77436,EMP2893,99284.2,2526.62,1386.84,70512.36,2023-07-27
PAY61965,EMP3235,144508.11,3183.69,3918.75,98943.23,2024-12-23
PAY23709,EMP8548,63828.57,8436.68,2641.16,86411.94,2024-07-06
PAY8491,EMP6027,46289.08,2122.85,4503.01,78381.87,2024-12-18
PAY52891,EMP6671,97887.15,3984.83,1985.16,116704.73,2024-10-03
PAY7475,EMP5097,45612.55,9990.01,620.0,71373.39,2025-03-12
PAY68889,EMP7043,131818.28,9986.19,4469.36,95376.51,2025-04-29
PAY6234,EMP3650,57431.67,7707.66,1010.37,95485.83,2025-11-16
PAY14801,EMP7956,75689.41,8250.19,4475.14,113822.29,2023-02-11
PAY85994,EMP1186,49954.82,8323.76,3296.01,80772.91,2024-11-01
PAY86183,EMP4289,132657.04,9728.64,3923.62,118372.13,2023-10-28
PAY8498,EMP8904,31032.51,7831.22,1627.33,116797.07,2023-04-06
PAY70234,EMP8937,129401.25,9625.98,895.12,50336.35,2023-07-23
PAY90683,EMP5244,68001.75,7540.88,515.08,122684.27,2024-05-01
PAY93950,EMP9559,128749.87,5030.19,4879.21,115454.06,2025-08-22
PAY72620,EMP3428,65308.99,3036.32,4422.79,69700.74,2024-01-23
PAY7771,EMP3407,43234.8,3998.12,2894.3,110428.91,2023-11-06
PAY61251,EMP9097,100080.51,2647.68,2392.63,48192.91,2025-06-26
PAY38540,EMP9812,50991.11,4296.92,2954.7,76902.02,2025-07-21
PAY21522,EMP3347,83946.1,7953.38,1920.04,27336.77,2025-02-16
PAY4845,EMP6052,84255.31,6008.07,708.28,61038.11,2024-01-03
PAY27831,EMP8709,37211.49,5200.4,4074.39,43846.92,2025-08-03
PAY17007,EMP2667,103615.73,6920.37,535.21,88343.03,2024-04-09
PAY39959,EMP1451,77230.13,7368.36,843.72,79564.16,2024-03-14
PAY83453,EMP3150,54050.19,1633.4,4848.59,88835.31,2025-01-12
PAY15723,EMP8639,117520.38,2627.18,4779.8,42017.0,2023-05-04
PAY57448,EMP5971,55393.86,2638.59,2288.56,133640.24,2025-08-21
PAY66797,EMP4131,68502.31,5155.89,2530.38,60685.98,2024-07-22
PAY2498,EMP2813,56209.57,8838.2,1254.98,41375.44,2023-05-02
PAY6928,EMP7336,148742.47,2726.84,2210.92,55797.45,2023-05-10
PAY46802,EMP3511,130968.29,3174.98,3187.68,68163.69,2023-06-27
PAY71847,EMP1880,99975.52,1204.43,1838.15,52341.01,2023-04-23
PAY92778,EMP9707,135628.43,5652.62,974.14,39768.19,2024-11-07
PAY35359,EMP7807,87495.53,2751.23,3449.41,58447.34,2025-12-27
PAY82536,EMP7472,73479.45,5592.06,2369.1,120972.78,2023-05-24
PAY72235,EMP9184,36883.16,1846.41,3812.27,44737.79,2025-01-28
PAY2334,EMP8084,57317.56,9843.23,1764.33,70184.27,2025-09-16
PAY85964,EMP4175,125941.19,3472.83,3158.87,84547.1,2025-02-10
PAY36957,EMP3895,33865.8,1513.22,977.15,33149.16,2023-12-11
PAY35980,EMP9596,132397.1,2060.28,2661.12,57909.76,2024-06-14
PAY15344,EMP1177,79515.16,8755.54,3498.3,109979.72,2023-08-31
PAY68413,EMP9518,77839.79,8004.09,1919.72,83356.93,2024-06-12
