Attendance_ID,Employee_ID,Date,Check_in_Time,Check_out_Time,Total_Hours_Worked,Overtime_Hours,Leave_Status
ATT70603,EMP1222,2023-06-30,04:50:24,19:42:51,4.1,2.3,Vacation
ATT85356,EMP5790,2023-05-11,16:19:03,04:34:10,7.5,0.2,Vacation
ATT70876,EMP1367,2025-08-09,20:09:05,10:37:37,5.4,2.2,Sick Leave
ATT72652,EMP7318,2025-07-13,01:06:57,10:01:23,6.5,0.9,None
ATT58750,EMP6190,2024-06-23,06:08:48,22:47:12,5.8,1.3,None
ATT33515,EMP2033,2025-03-26,10:01:59,17:09:12,9.1,0.3,Vacation
ATT90519,EMP5387,2023-01-15,13:41:58,11:54:11,8.4,0.3,Vacation
ATT73618,EMP9916,2023-03-09,18:15:29,05:23:51,6.3,2.5,Sick Leave
ATT26493,EMP4739,2024-08-18,01:12:35,01:12:27,9.1,1.0,Sick Leave
ATT70550,EMP6349,2023-01-03,11:09:47,06:10:15,4.6,0.8,None
ATT5871,EMP4639,2024-03-25,13:56:21,01:50:15,7.4,2.4,None
ATT20633,EMP7038,2025-12-06,04:37:50,07:49:40,5.3,1.0,Sick Leave
ATT75968,EMP5421,2024-11-25,23:37:32,09:41:14,6.1,1.5,None
ATT92874,EMP2568,2024-12-02,11:01:12,21:12:23,7.4,2.6,None
ATT44445,EMP6122,2024-07-25,23:44:00,11:19:21,7.6,1.8,None
ATT14123,EMP1580,2024-04-29,18:02:54,00:19:59,7.9,1.7,Vacation
ATT72158,EMP2486,2023-02-20,17:12:22,08:39:55,9.3,1.4,None
ATT61648,EMP6990,2023-08-28,18:11:34,19:38:33,6.4,0.1,None
ATT36050,EMP3323,2023-06-14,19:10:21,00:27:05,9.4,2.9,None
ATT94861,EMP1583,2024-10-23,05:51:19,21:18:38,8.7,0.6,Sick Leave
ATT42716,EMP2994,2023-11-04,15:44:10,02:38:05,7.5,2.2,Sick Leave
ATT4912,EMP3203,2023-03-12,13:47:28,04:06:33,9.0,2.0,Vacation
ATT11021,EMP8091,2023-05-26,02:03:02,14:43:09,8.7,1.9,Vacation
ATT44767,EMP7671,2025-02-06,19:57:52,05:54:54,4.0,2.5,Vacation
ATT54690,EMP3396,2023-11-28,07:14:54,03:12:33,6.1,0.7,Vacation
ATT12781,EMP6628,2025-12-07,11:02:10,04:20:34,5.9,1.9,Vacation
ATT48514,EMP4480,2023-11-17,04:43:54,16:06:42,4.6,1.7,Vacation
ATT69286,EMP7329,2024-09-04,09:11:22,08:09:15,7.5,1.5,Vacation
ATT38519,EMP4670,2023-02-13,16:00:44,02:42:11,9.7,0.7,None
ATT66038,EMP5600,2025-09-13,15:46:24,07:06:51,9.2,0.4,Vacation
ATT82602,EMP6523,2024-04-08,04:12:05,11:07:08,6.8,0.8,Sick Leave
ATT16605,EMP6837,2023-02-13,11:48:11,22:48:47,4.6,0.2,Vacation
ATT84289,EMP1480,2023-08-19,21:00:21,17:49:59,4.7,2.4,Vacation
ATT53970,EMP2492,2024-11-12,11:01:12,13:31:09,6.7,0.0,None
ATT12785,EMP9465,2023-02-02,14:34:55,09:34:11,8.2,0.5,Sick Leave
ATT95658,EMP1746,2024-03-29,14:16:03,16:04:37,9.8,2.3,Sick Leave
ATT16436,EMP8845,2025-04-02,10:37:16,14:19:34,6.9,2.3,None
ATT23829,EMP2842,2025-07-20,05:56:51,17:04:46,7.9,2.9,Sick Leave
ATT60746,EMP2231,2025-12-08,12:10:47,10:13:21,9.4,1.6,Sick Leave
ATT56408,EMP4375,2023-12-13,03:37:22,00:53:29,6.4,2.4,None
ATT25778,EMP1476,2023-05-08,21:42:06,07:05:25,4.8,2.9,None
ATT33332,EMP3959,2023-05-20,19:12:54,00:51:59,4.3,2.8,Sick Leave
ATT18514,EMP1648,2025-01-04,04:07:57,15:31:56,4.6,1.8,Sick Leave
ATT71127,EMP7288,2025-02-05,20:17:33,17:05:41,5.5,2.1,Vacation
ATT56519,EMP9255,2024-11-23,20:46:34,23:32:17,9.6,1.3,Vacation
ATT96077,EMP2564,2023-11-15,12:42:46,17:30:03,8.4,1.0,Sick Leave
ATT84018,EMP1331,2024-02-03,08:55:34,10:58:56,6.1,1.0,Sick Leave
ATT90216,EMP9519,2025-12-18,13:10:32,08:35:25,6.7,0.1,None
ATT32275,EMP1926,2025-12-17,22:06:58,22:49:12,8.7,2.4,None
ATT82943,EMP7042,2023-07-17,20:40:09,06:57:02,8.3,0.0,Sick Leave
ATT56349,EMP3703,2025-07-06,05:38:32,07:47:39,4.8,1.4,Vacation
ATT33502,EMP8446,2023-08-28,08:16:09,09:55:00,9.6,1.5,Vacation
ATT63654,EMP8998,2023-08-22,09:38:01,06:01:33,4.3,2.3,None
ATT28388,EMP8393,2024-04-28,14:16:56,10:36:39,6.6,0.4,Sick Leave
ATT40507,EMP5761,2023-08-06,18:28:07,20:20:28,8.4,1.5,None
ATT71110,EMP1617,2025-01-28,09:11:01,04:37:48,8.8,2.7,Sick Leave
ATT70459,EMP6444,2023-07-19,06:28:52,01:23:48,9.0,0.5,None
ATT34317,EMP7439,2025-02-03,17:58:11,22:27:28,5.8,0.9,Sick Leave
ATT1685,EMP3847,2025-11-12,07:39:39,04:09:39,7.7,0.8,None
ATT28971,EMP3147,2025-09-03,09:35:38,10:28:16,9.8,2.5,Sick Leave
ATT57745,EMP7950,2025-03-22,21:00:07,13:58:32,6.7,1.4,None
ATT89188,EMP9403,2023-12-24,12:54:41,17:35:07,7.8,1.4,None
ATT53855,EMP4582,2024-10-13,16:59:20,11:14:31,4.3,1.0,Vacation
ATT12748,EMP8749,2025-10-12,19:59:51,13:17:12,9.1,0.5,Sick Leave
ATT14494,EMP7913,2024-10-16,20:35:38,23:18:08,6.5,0.7,Vacation
ATT13281,EMP8806,2023-12-02,02:11:21,06:13:12,9.4,0.3,Vacation
ATT29919,EMP5955,2024-08-14,20:38:52,00:29:43,6.6,2.1,None
ATT23406,EMP2180,2024-05-12,22:05:23,20:33:12,6.7,2.7,Vacation
ATT82646,EMP9493,2024-11-01,15:27:18,12:48:04,7.9,1.8,Sick Leave
ATT10579,EMP4417,2024-04-10,13:14:43,23:18:00,6.4,2.9,Sick Leave
ATT35744,EMP8979,2023-03-28,05:27:11,18:10:21,5.0,0.2,None
ATT16464,EMP8351,2024-04-02,06:13:44,15:30:22,6.9,2.6,Sick Leave
ATT52481,EMP9824,2023-12-23,17:47:37,18:49:45,8.4,1.6,None
ATT99025,EMP5621,2025-04-30,11:23:22,00:12:40,6.2,3.0,None
ATT46004,EMP1149,2024-02-23,22:52:40,00:24:44,5.5,0.6,None
ATT53377,EMP4124,2025-04-19,07:16:08,10:41:10,4.9,3.0,Vacation
ATT53002,EMP3209,2024-11-30,23:11:34,09:09:06,9.9,0.1,Vacation
ATT80911,EMP7812,2023-10-27,02:03:43,04:45:11,7.4,2.3,Vacation
ATT50200,EMP9065,2025-04-22,03:40:42,11:13:18,5.4,1.2,Vacation
ATT57995,EMP1631,2024-07-25,08:06:16,11:50:27,5.6,1.8,Vacation
ATT2730,EMP8669,2023-08-24,08:01:39,19:27:10,8.8,1.0,Vacation
ATT9127,EMP1310,2024-01-08,02:56:19,12:44:17,9.8,1.8,Vacation
ATT60458,EMP6955,2024-12-08,00:22:37,10:36:03,7.2,1.8,None
ATT75455,EMP5471,2023-07-14,08:33:08,00:44:13,6.9,1.8,Sick Leave
ATT85431,EMP9989,2023-03-26,17:48:30,18:29:14,7.3,0.0,Sick Leave
ATT24348,EMP8680,2024-08-13,09:04:55,12:49:45,5.5,0.5,Vacation
ATT84044,EMP3085,2023-09-03,07:04:52,16:43:22,5.6,1.4,None
ATT30685,EMP4195,2024-03-22,11:22:55,04:50:22,7.6,0.5,None
ATT27549,EMP3107,2023-07-02,10:41:22,01:16:18,4.2,0.1,Sick Leave
ATT83339,EMP5313,2025-10-25,11:49:49,12:34:53,7.5,2.8,None
ATT22776,EMP8324,2023-11-20,05:24:23,12:39:28,6.3,0.6,None
ATT65971,EMP3583,2025-06-05,14:03:47,00:22:51,5.6,1.3,None
ATT52528,EMP9802,2023-05-29,23:42:39,22:18:31,4.4,1.3,Vacation
ATT57340,EMP5348,2024-06-15,01:28:44,08:56:40,8.6,2.3,Sick Leave
ATT99176,EMP7254,2024-01-24,06:54:12,19:27:37,6.5,0.8,Vacation
ATT21272,EMP9140,2024-06-10,10:24:32,19:36:25,4.8,0.4,Sick Leave
ATT5086,EMP7789,2023-09-16,19:50:58,05:21:15,6.8,0.1,Vacation
ATT2193,EMP6464,2025-08-09,21:09:44,06:00:11,9.7,2.8,Sick Leave
ATT74905,EMP3905,2024-12-22,06:17:05,00:45:08,6.8,1.7,Sick Leave
ATT69361,EMP2072,2025-10-28,15:53:56,07:05:35,7.1,1.9,None
ATT8369,EMP5391,2023-06-08,21:45:10,15:59:49,9.1,2.6,Vacation
ATT99926,EMP5755,2025-07-24,12:41:12,08:32:48,4.0,2.2,Vacation
ATT89103,EMP8138,2025-06-24,08:05:49,03:51:45,9.6,0.9,Vacation
ATT14055,EMP4204,2025-05-10,22:44:45,07:42:20,9.6,1.4,Sick Leave
ATT81329,EMP8762,2025-08-22,06:07:04,13:33:31,5.3,1.9,Vacation
ATT61787,EMP3248,2024-03-28,03:03:11,21:45:33,5.7,1.2,Vacation
ATT91695,EMP6661,2024-08-05,17:25:03,12:17:23,8.6,1.1,None
ATT69277,EMP2607,2024-11-25,13:52:01,21:43:55,4.2,0.1,Vacation
ATT18330,EMP6334,2024-07-23,10:04:22,15:59:35,9.4,1.3,None
ATT26848,EMP6624,2023-11-22,07:50:04,10:46:22,4.4,1.8,None
ATT99141,EMP2590,2024-07-02,15:59:17,07:19:08,8.2,2.4,Sick Leave
ATT65810,EMP3727,2023-05-05,15:01:20,12:04:20,4.6,0.7,Sick Leave
ATT36843,EMP4593,2025-06-27,23:56:14,07:20:09,4.9,1.2,None
ATT15909,EMP3676,2024-02-15,15:39:17,12:27:50,9.0,0.6,None
ATT42098,EMP3827,2024-01-08,03:04:37,06:48:26,8.5,0.2,Sick Leave
ATT61830,EMP9052,2025-07-25,18:41:22,19:02:20,4.2,2.2,Sick Leave
ATT69071,EMP3470,2025-05-29,06:25:23,04:57:01,5.3,0.8,Sick Leave
ATT81758,EMP1904,2025-01-27,15:33:04,01:57:05,8.9,1.6,Vacation
ATT63339,EMP6847,2025-01-03,15:31:15,13:51:20,8.3,0.4,Vacation
ATT97084,EMP2289,2023-04-10,08:58:21,00:22:47,4.8,1.6,Sick Leave
ATT12660,EMP6410,2023-03-12,10:34:51,15:13:24,8.1,0.2,Vacation
ATT90730,EMP1804,2025-11-01,03:28:26,19:50:55,9.7,1.2,None
ATT17338,EMP3175,2024-09-13,23:59:34,02:00:17,9.2,0.9,Sick Leave
ATT83884,EMP5553,2023-04-19,10:30:39,12:08:14,8.0,0.9,Sick Leave
ATT3048,EMP1886,2023-06-08,18:49:58,05:52:29,4.6,2.5,Vacation
ATT79018,EMP9215,2024-12-01,16:19:15,09:43:50,5.6,0.8,Sick Leave
ATT40581,EMP7948,2023-07-30,06:12:05,01:23:33,6.6,2.6,None
ATT53241,EMP3228,2024-06-22,06:10:20,04:31:24,4.5,0.2,Vacation
ATT31261,EMP8240,2024-08-04,02:08:08,04:26:23,4.2,1.2,Sick Leave
ATT40544,EMP6628,2023-12-16,16:37:53,05:39:47,7.5,2.1,None
ATT66665,EMP7707,2024-05-12,17:26:12,16:06:50,9.3,0.9,None
ATT33355,EMP2250,2024-09-19,22:47:57,02:23:59,8.8,2.0,None
ATT38577,EMP3800,2023-12-07,04:52:03,22:01:01,6.6,1.3,Sick Leave
ATT12025,EMP3308,2024-06-07,10:37:50,02:20:35,7.8,1.3,Sick Leave
ATT93887,EMP8833,2023-02-16,07:13:57,11:23:05,8.6,1.5,Sick Leave
ATT21598,EMP7307,2025-01-05,08:34:41,12:03:41,9.9,1.4,None
ATT79322,EMP7714,2023-04-24,00:33:18,03:37:35,5.8,1.7,Sick Leave
ATT36261,EMP4545,2024-03-06,06:23:37,00:47:22,8.9,2.5,None
ATT73202,EMP1062,2023-09-25,22:23:04,13:28:54,9.6,0.8,Sick Leave
ATT52915,EMP4816,2023-03-28,09:24:22,16:46:45,6.5,2.1,Vacation
ATT1230,EMP8384,2024-08-15,17:11:32,15:35:40,5.7,1.6,None
ATT19198,EMP1725,2023-12-16,01:27:47,20:37:12,9.0,1.0,Sick Leave
ATT70730,EMP6731,2025-02-04,18:11:02,05:44:24,6.5,0.4,None
ATT40562,EMP2356,2025-01-29,11:15:21,22:55:18,9.4,1.8,Sick Leave
ATT41825,EMP7731,2025-03-13,22:41:13,20:29:48,9.7,2.9,Sick Leave
ATT97517,EMP9569,2023-04-16,22:13:44,20:51:52,5.6,0.8,Vacation
ATT64701,EMP7278,2025-01-06,02:27:26,12:41:07,7.7,1.2,None
ATT24083,EMP5683,2024-12-30,12:35:42,06:48:09,5.3,2.7,Sick Leave
ATT72383,EMP7826,2023-07-09,10:54:14,01:30:11,6.5,2.2,Sick Leave
ATT70122,EMP5335,2023-08-31,09:05:57,09:28:43,8.3,1.4,Vacation
ATT98462,EMP1395,2025-09-24,09:09:28,13:32:22,7.4,1.5,None
ATT72769,EMP9041,2025-08-29,10:05:55,22:02:37,6.5,1.2,None
ATT37642,EMP4739,2025-08-20,02:25:46,09:36:46,6.4,2.4,Vacation
ATT47150,EMP5245,2025-02-17,15:32:28,05:11:58,9.2,1.6,Vacation
ATT46188,EMP2521,2023-05-04,03:53:32,00:33:29,7.7,2.3,Vacation
ATT57046,EMP8282,2025-08-09,20:25:38,19:28:15,9.5,3.0,None
ATT44936,EMP2482,2023-06-24,16:55:27,01:32:56,9.2,1.8,None
ATT27978,EMP8246,2023-11-29,07:14:40,10:48:25,8.2,1.0,Vacation
ATT23854,EMP6310,2023-09-25,01:14:09,15:08:52,4.0,1.7,None
ATT57522,EMP7412,2023-10-28,13:23:04,22:52:10,5.2,1.2,Vacation
ATT28983,EMP3382,2024-09-07,14:28:12,00:30:39,6.5,3.0,Sick Leave
ATT97150,EMP5165,2024-03-06,01:52:22,07:51:54,8.6,1.7,None
ATT25113,EMP4013,2024-12-15,16:37:27,22:18:57,4.2,3.0,Sick Leave
ATT60069,EMP2588,2024-08-15,23:59:24,23:05:05,6.3,0.7,Sick Leave
ATT54272,EMP3461,2023-10-08,04:34:55,01:43:07,8.7,2.4,None
ATT48472,EMP6199,2023-08-16,08:34:25,09:30:00,9.3,0.1,Vacation
ATT63236,EMP2653,2024-01-02,19:19:02,08:21:14,6.5,0.1,Sick Leave
ATT60623,EMP7970,2023-07-29,13:19:20,12:16:44,9.1,1.3,None
ATT74737,EMP4834,2023-01-28,05:58:09,10:43:18,6.5,2.4,None
ATT78852,EMP1444,2023-10-24,10:16:49,16:32:36,9.8,0.8,Vacation
ATT79262,EMP3607,2024-09-16,22:27:05,10:40:07,9.6,1.3,Sick Leave
ATT19562,EMP7884,2023-08-05,04:03:51,15:21:37,5.4,1.6,Vacation
ATT25493,EMP6044,2025-01-02,08:24:43,04:16:52,5.8,0.4,Sick Leave
ATT96744,EMP6208,2025-07-27,07:52:14,22:09:26,5.1,1.7,Sick Leave
ATT70679,EMP3505,2025-02-18,05:12:00,06:49:00,6.2,2.5,Vacation
ATT47418,EMP5723,2023-11-10,13:41:11,17:19:37,5.5,1.6,Vacation
ATT41967,EMP6319,2023-04-27,13:18:59,04:43:38,7.8,1.0,Vacation
ATT96242,EMP6901,2024-03-17,00:26:53,03:02:51,7.6,0.8,None
ATT56314,EMP2758,2023-10-07,07:35:43,01:00:04,5.5,1.4,Sick Leave
ATT85831,EMP6146,2025-05-21,17:58:22,15:10:42,9.8,2.0,Sick Leave
ATT92633,EMP4094,2024-05-15,03:45:47,18:38:23,7.5,2.1,None
ATT12897,EMP5559,2024-02-26,10:30:30,15:10:46,7.9,2.0,Vacation
ATT88868,EMP9274,2024-10-20,07:21:10,01:40:15,6.8,0.0,Sick Leave
ATT25835,EMP7618,2024-01-16,08:41:07,03:45:09,9.9,1.9,None
ATT91552,EMP6774,2023-05-25,22:25:16,09:59:12,9.5,2.9,Sick Leave
ATT2089,EMP3382,2025-06-06,22:37:53,03:11:00,9.5,1.4,Vacation
ATT91676,EMP7750,2025-05-24,10:40:25,18:52:22,8.7,2.0,Vacation
ATT16748,EMP3767,2024-02-20,23:44:59,21:34:06,6.9,0.8,None
ATT93834,EMP9862,2024-07-17,22:17:11,04:17:21,7.5,1.5,None
ATT7377,EMP8020,2023-01-12,21:43:45,02:29:31,5.4,0.0,None
ATT26430,EMP4197,2023-08-10,19:30:29,22:38:37,6.3,1.9,Vacation
ATT17307,EMP2279,2024-07-13,16:01:38,04:39:51,9.9,2.9,None
ATT38681,EMP6207,2023-08-07,21:47:44,17:57:09,6.0,2.5,Sick Leave
ATT8216,EMP8129,2024-09-28,20:46:59,14:20:38,6.8,2.2,Sick Leave
ATT51659,EMP7808,2024-10-30,10:34:51,14:36:20,4.1,2.4,None
ATT58556,EMP6248,2024-11-14,12:37:05,05:34:34,9.5,1.0,Sick Leave
ATT87659,EMP7835,2025-01-05,14:55:45,01:35:40,6.3,2.8,Vacation
ATT75249,EMP5115,2023-02-19,07:58:23,00:40:39,7.4,2.8,Vacation
ATT80666,EMP9392,2025-07-12,15:42:20,19:32:42,5.5,1.5,None
ATT24618,EMP6532,2024-05-13,16:14:43,14:56:06,5.7,2.8,Sick Leave
ATT21567,EMP5342,2024-08-24,21:56:40,23:00:31,4.9,1.2,Sick Leave
ATT6568,EMP1347,2024-03-11,16:46:49,10:18:43,5.4,1.8,Sick Leave
ATT31907,EMP9367,2024-05-15,22:57:08,20:33:12,5.3,1.8,None
ATT3871,EMP3635,2025-08-08,18:03:13,01:35:37,5.3,2.1,Sick Leave
ATT33793,EMP9393,2024-05-23,17:58:00,15:29:09,9.4,2.6,None
ATT8591,EMP8439,2024-06-10,14:20:52,03:39:16,9.3,2.4,Sick Leave
ATT9809,EMP3948,2023-11-06,13:32:48,19:03:37,7.4,1.7,None
ATT70523,EMP1819,2024-03-03,07:48:37,22:51:18,6.4,1.7,Vacation
ATT71570,EMP8689,2023-04-28,13:10:04,01:42:39,8.1,1.2,None
ATT61456,EMP5350,2023-05-05,16:06:10,22:20:22,6.8,1.5,Vacation
ATT52180,EMP3720,2024-07-30,07:23:45,03:43:56,4.6,1.0,Sick Leave
ATT58840,EMP8451,2024-02-19,01:42:48,01:32:05,4.8,2.4,Sick Leave
ATT66695,EMP7309,2023-03-03,23:15:15,17:44:46,7.4,2.0,Sick Leave
ATT76255,EMP3908,2023-06-02,15:12:18,15:43:26,9.9,0.5,Sick Leave
ATT8685,EMP6433,2025-08-20,09:27:51,08:24:43,6.8,2.5,None
ATT40719,EMP7400,2023-03-26,21:44:14,19:49:21,6.1,0.1,None
ATT88165,EMP7119,2023-01-15,18:07:39,22:55:24,7.8,1.3,None
ATT12323,EMP5183,2023-11-21,04:21:42,17:16:42,4.0,0.1,Vacation
ATT3783,EMP8379,2025-10-13,17:29:04,00:15:57,9.8,2.1,Sick Leave
ATT96754,EMP9905,2025-12-21,21:40:27,10:28:40,8.5,0.2,Vacation
ATT58479,EMP4516,2024-05-03,06:02:39,04:27:47,7.3,0.9,None
ATT85622,EMP6558,2024-11-18,14:08:32,22:10:48,7.6,2.0,None
ATT84252,EMP9545,2025-05-12,03:21:17,09:40:28,9.4,0.3,Vacation
ATT8953,EMP3055,2024-06-07,14:16:04,06:30:05,9.0,0.1,Sick Leave
ATT69301,EMP3688,2025-04-10,10:03:53,15:30:43,4.5,0.1,Vacation
ATT13118,EMP2280,2024-08-28,03:31:19,20:25:07,4.4,0.9,Vacation
ATT8849,EMP3705,2025-09-28,16:03:41,18:50:09,9.6,0.9,Vacation
ATT66229,EMP2889,2023-10-11,13:55:40,09:51:29,6.4,1.3,None
ATT36034,EMP9989,2023-09-19,19:33:54,14:16:59,9.8,0.1,None
ATT25321,EMP9540,2025-04-25,07:40:23,17:16:19,8.6,2.0,Vacation
ATT55784,EMP1556,2025-07-17,15:46:09,12:55:40,6.8,0.0,Sick Leave
ATT38325,EMP7366,2025-02-20,05:31:09,18:15:18,7.5,0.6,None
ATT87089,EMP8342,2024-10-29,11:56:07,22:32:48,9.5,1.5,Sick Leave
ATT73682,EMP4302,2023-08-13,15:29:13,14:56:51,5.1,2.1,None
ATT2862,EMP4289,2025-10-14,02:56:15,04:07:39,5.9,0.3,Vacation
ATT59022,EMP3069,2023-03-22,03:19:12,15:58:54,7.4,1.3,Sick Leave
ATT17720,EMP7386,2024-07-04,11:27:44,12:43:00,8.0,1.6,None
ATT55579,EMP2427,2024-02-22,04:46:19,17:17:50,4.4,1.0,None
ATT27942,EMP5242,2024-12-04,11:41:02,01:03:59,4.1,0.5,None
ATT66684,EMP9551,2025-10-01,21:40:52,20:39:26,9.1,0.4,Vacation
ATT76663,EMP8713,2025-02-22,14:04:56,00:49:28,5.1,1.7,Vacation
ATT40733,EMP4220,2023-08-09,03:05:29,16:31:27,7.7,0.2,Sick Leave
ATT80120,EMP6139,2025-04-16,23:55:27,14:15:44,8.5,0.9,None
ATT12802,EMP9647,2025-04-20,18:55:43,16:23:30,6.1,1.4,Sick Leave
ATT11226,EMP3262,2023-06-23,14:36:11,23:57:08,10.0,1.0,Vacation
ATT84002,EMP3119,2023-12-28,01:52:11,10:54:04,8.1,2.5,None
ATT19980,EMP3451,2023-10-08,17:30:40,21:34:40,4.7,2.9,Sick Leave
ATT98486,EMP7600,2025-05-21,22:40:43,06:28:10,5.9,0.2,Vacation
ATT3686,EMP8817,2023-06-13,19:19:15,18:08:00,9.7,1.2,None
ATT60380,EMP3090,2023-12-15,11:19:36,21:15:51,4.7,0.8,None
ATT89563,EMP7618,2024-08-08,04:03:19,08:18:22,9.4,3.0,None
ATT77614,EMP2989,2023-02-25,08:37:47,09:58:14,6.5,2.7,None
ATT80359,EMP8398,2023-09-28,08:32:05,21:16:10,6.3,2.5,None
ATT65345,EMP5194,2023-09-26,19:32:05,06:50:39,9.2,1.8,Vacation
ATT38145,EMP6081,2025-07-22,01:53:43,06:43:39,8.1,1.7,Sick Leave
ATT99222,EMP7913,2025-02-26,23:32:33,09:30:54,5.6,2.4,Vacation
ATT17845,EMP3651,2023-01-30,18:11:58,08:40:54,8.4,0.2,None
ATT49667,EMP8790,2025-10-18,07:06:53,06:43:16,4.5,0.3,None
ATT68029,EMP2251,2023-12-04,16:25:37,10:48:08,8.7,1.6,Vacation
ATT1968,EMP6081,2024-07-01,16:19:19,13:31:31,8.1,1.1,None
ATT60151,EMP6538,2024-03-14,04:26:11,06:08:47,5.7,1.3,None
ATT55008,EMP3689,2025-09-16,03:54:04,04:48:03,4.6,0.9,Vacation
ATT79062,EMP8033,2024-09-20,16:21:35,05:13:19,9.2,0.2,Sick Leave
ATT68171,EMP3911,2024-06-06,14:21:32,01:05:13,6.2,0.9,Sick Leave
ATT90338,EMP7890,2024-08-29,19:21:38,03:06:50,5.0,1.4,Sick Leave
ATT66091,EMP5414,2023-05-16,02:33:14,00:26:50,4.7,0.1,None
ATT93300,EMP9728,2023-09-14,11:43:31,23:39:40,5.1,0.2,None
ATT7791,EMP6637,2024-12-09,08:09:10,22:36:04,4.2,1.2,Vacation
ATT99609,EMP3863,2023-10-11,21:29:18,20:28:18,9.2,2.6,None
ATT18560,EMP2893,2025-10-07,20:05:31,02:02:10,4.4,1.8,Sick Leave
ATT44205,EMP3235,2023-11-27,14:43:58,19:43:44,7.2,0.3,None
ATT38128,EMP8548,2023-11-12,15:02:55,23:41:56,9.2,1.2,None
